id,user_id,event_name,page_id,created_at
10515708,44,Leg,19,2025-01-30 15:10:19.156783
10471757,187,He,20,2025-01-30 05:40:53.727953
24696914,134,History,15,2025-01-30 15:49:50.219381
18971370,12,He,13,2025-01-30 13:35:16.222332
17831730,91,History,3,2025-01-30 05:00:19.158764
20363498,7,Charge,17,2025-01-30 05:59:50.363486
14077761,61,Civil,16,2025-01-30 13:42:20.723376
5621798,147,Civil,3,2025-01-30 14:47:40.052041
17821507,126,Record,12,2025-01-30 04:38:09.780820
30591735,99,Student,20,2025-01-30 17:56:55.313913
20836820,72,Body,9,2025-01-30 13:04:13.099898
8796301,54,Approach,4,2025-01-30 09:02:58.679516
36034236,44,He,5,2025-01-30 04:01:27.634711
31781081,91,Civil,13,2025-01-30 10:32:41.374902
12248502,118,Social,8,2025-01-30 10:05:00.897385
12341152,2,Rate,3,2025-01-30 05:41:17.410622
33349483,92,Rate,4,2025-01-30 04:32:25.618217
38162655,93,Quite,16,2025-01-30 06:31:13.542343
36639388,53,Fund,6,2025-01-30 09:16:02.983066
14116280,75,Approach,8,2025-01-30 17:54:17.073367
38632407,132,Body,19,2025-01-30 00:33:07.230563
15857180,1,History,9,2025-01-30 04:17:20.111653
1573921,173,Fund,9,2025-01-30 15:24:49.430172
18469398,30,Sit,13,2025-01-30 09:07:08.355139
4415387,113,Social,17,2025-01-30 01:10:28.319557
6917067,170,Fund,10,2025-01-30 04:29:02.379189
6658601,57,Social,4,2025-01-30 08:41:30.314373
29720828,1,History,2,2025-01-30 01:46:25.150352
10666453,123,Next,9,2025-01-29 19:01:41.453591
19455545,16,He,1,2025-01-29 18:31:05.139080
37998871,162,Charge,20,2025-01-30 02:02:19.153371
11911575,156,Approach,15,2025-01-29 23:33:12.971820
34066824,142,Fund,5,2025-01-30 14:47:14.765744
34104047,187,Record,9,2025-01-29 20:19:03.438950
34696600,113,South,12,2025-01-29 20:28:54.527010
33707253,6,Rate,16,2025-01-29 21:08:26.531070
20945334,53,Body,17,2025-01-30 10:59:52.055881
35821172,79,Student,18,2025-01-29 23:27:36.917677
37520818,34,Quite,1,2025-01-30 04:57:32.794979
6166983,100,Record,11,2025-01-30 15:47:29.770173
39421310,137,Statement,3,2025-01-30 03:18:10.618855
12876466,123,He,1,2025-01-29 19:57:45.210860
11327054,73,Sit,12,2025-01-30 07:51:23.671334
39710953,18,Statement,14,2025-01-30 03:19:25.302791
27008340,102,Civil,4,2025-01-30 05:30:48.387366
7651607,156,Sit,1,2025-01-30 04:08:28.559668
6721519,58,Charge,13,2025-01-30 11:34:07.713738
1120062,71,Out,19,2025-01-30 14:49:41.649740
14252818,59,Sit,3,2025-01-30 02:59:21.852773
27216875,162,South,12,2025-01-30 05:48:36.068955
10123966,199,Leg,20,2025-01-30 05:14:43.839760
35648039,117,History,5,2025-01-30 04:40:39.577138
36174575,31,Social,1,2025-01-29 20:08:09.457247
7087260,101,Statement,18,2025-01-29 21:34:06.171449
24577798,49,Quite,10,2025-01-30 12:10:23.487567
3155746,67,Organization,18,2025-01-30 05:30:11.350857
1859981,44,Social,5,2025-01-30 17:18:33.382734
