id,name,created_at
1,Floor,2024-03-09 01:25:08.599679
2,Force,2025-01-05 09:10:59.189670
3,Brother,2024-05-27 22:17:33.238825
4,Story,2024-05-24 22:37:15.707317
5,Happen,2024-04-04 23:27:54.345140
6,Recognize,2024-05-24 05:36:54.426414
7,Simple,2024-02-19 08:42:51.192608
8,Create,2024-02-23 06:15:13.658597
9,Why,2024-05-29 19:08:14.259861
10,Police,2024-12-30 14:52:35.638402
11,Free,2024-04-09 11:31:41.112242
12,Allow,2024-12-16 02:56:26.094404
13,Any,2024-05-09 18:26:39.544177
14,Manage,2024-10-29 13:08:28.135436
15,Mrs,2024-08-31 17:00:42.270822
16,Color,2024-06-25 01:17:19.471949
17,Training,2024-06-05 20:16:17.122303
18,Other,2024-08-20 01:14:24.786964
19,Almost,2024-08-08 04:42:07.290447
20,She,2024-06-11 03:06:35.083824
