id,user_id,event_name,page_id,created_at
10947022,74,History,9,2025-01-30 14:10:05.544238
6597484,11,Out,16,2025-01-29 19:29:04.954548
18534088,129,Organization,5,2025-01-30 03:51:14.547861
4424728,78,South,3,2025-01-30 01:39:55.444611
16946526,153,Student,18,2025-01-30 00:02:13.608083
30649504,43,Fund,19,2025-01-29 23:00:58.560075
16472945,116,Statement,15,2025-01-30 09:38:44.925558
13178106,35,Fund,4,2025-01-30 09:34:49.107448
9113318,24,Record,13,2025-01-29 23:51:01.057575
23526332,104,Fund,15,2025-01-30 17:56:03.050283
1424658,200,Quite,12,2025-01-30 06:03:43.795021
28834420,118,Body,12,2025-01-29 23:35:54.216762
9169464,35,Civil,9,2025-01-30 09:32:56.817512
23099576,94,Student,20,2025-01-29 18:34:23.789456
15376836,105,Approach,10,2025-01-29 18:54:57.194665
25634047,112,Quite,19,2025-01-29 21:50:32.336645
22174648,132,Social,10,2025-01-30 10:01:00.997818
22105203,131,Organization,6,2025-01-30 07:01:39.065609
28241394,138,He,4,2025-01-30 06:46:32.082414
31175539,121,Statement,8,2025-01-29 20:38:10.281642
4949420,155,Next,7,2025-01-30 04:34:13.793526
14638838,183,Civil,2,2025-01-30 16:28:37.455536
3127368,160,History,8,2025-01-30 17:21:58.293631
19287844,154,Body,1,2025-01-30 01:26:20.813456
4241521,64,Statement,7,2025-01-30 05:12:00.812538
25999584,171,Civil,12,2025-01-30 17:21:01.470221
34288932,10,Civil,7,2025-01-30 07:18:45.098700
8865580,129,Fund,20,2025-01-30 03:37:49.640606
9066286,30,South,16,2025-01-29 23:16:18.424213
931876,11,Leg,3,2025-01-30 12:51:44.550613
13465130,199,Student,12,2025-01-30 18:07:10.750849
11897860,19,Sit,15,2025-01-30 15:11:05.281840
22932820,115,House,2,2025-01-30 01:57:52.772622
12527850,182,Body,11,2025-01-30 16:56:47.902568
31132220,70,Statement,7,2025-01-30 11:31:28.235182
33697081,137,Body,13,2025-01-30 06:46:12.240163
6895746,128,Quite,2,2025-01-30 00:45:02.483719
11765585,23,Approach,2,2025-01-30 02:09:57.802021
23751290,23,Student,3,2025-01-30 01:06:43.547446
33354950,65,Rate,6,2025-01-30 10:05:37.042264
38039406,186,Body,13,2025-01-30 04:56:40.840263
8971355,45,Student,4,2025-01-30 07:34:04.330853
31833758,186,Approach,17,2025-01-30 07:48:19.164160
5699141,145,Approach,2,2025-01-29 21:38:16.211704
8188230,129,Statement,7,2025-01-29 22:01:03.570218
6308326,189,Social,13,2025-01-30 18:38:43.649084
1582707,131,South,10,2025-01-30 17:27:06.443900
34579742,106,Leg,5,2025-01-30 06:08:28.893951
2174390,40,Organization,3,2025-01-30 07:02:12.523487
23341836,98,Civil,13,2025-01-30 14:55:18.234605
26727538,76,Organization,12,2025-01-30 06:52:13.219143
31836807,24,History,5,2025-01-29 19:53:35.633133
21832632,81,South,3,2025-01-30 10:41:45.171508
27299173,195,Out,15,2025-01-30 16:57:20.280544
6986138,24,House,9,2025-01-29 20:21:43.325357
16284526,190,Body,13,2025-01-30 15:06:44.376869
9766114,71,Next,13,2025-01-29 20:57:25.255075
38709989,24,Leg,9,2025-01-29 20:45:28.586153
18580283,178,Next,8,2025-01-30 05:29:25.860064
28686871,138,Social,18,2025-01-30 00:06:58.052621
17764787,26,Student,11,2025-01-30 17:52:48.214733
13958224,153,Body,5,2025-01-30 15:49:18.776188
35014112,183,Sit,9,2025-01-30 11:09:41.811723
4145513,72,Student,10,2025-01-30 00:20:26.216336
13214917,172,Body,11,2025-01-29 19:59:06.113438
15625535,82,Sit,1,2025-01-30 11:47:44.891736
38146780,74,Sit,10,2025-01-30 05:11:40.177640
32793128,8,Sit,19,2025-01-30 11:24:12.363695
14605758,144,Civil,14,2025-01-30 07:32:16.174356
3805652,192,Quite,2,2025-01-30 17:04:26.760298
5263844,53,Sit,19,2025-01-30 09:01:01.995279
17176909,182,Body,18,2025-01-30 16:39:22.501729
16860001,83,Social,9,2025-01-30 17:00:02.983390
17093475,102,Record,18,2025-01-29 22:28:39.355175
33165772,90,House,9,2025-01-30 14:09:40.874336
22963948,69,Fund,16,2025-01-30 17:07:22.977305
6926144,69,Civil,3,2025-01-30 10:12:14.895198
38030226,101,Body,5,2025-01-30 11:29:23.053829
28910731,17,Fund,4,2025-01-30 01:01:27.444549
5005187,36,He,10,2025-01-29 19:40:18.034090
32127123,103,Record,8,2025-01-30 09:42:36.663365
36562447,122,South,12,2025-01-30 04:55:02.940576
38496388,35,Approach,12,2025-01-30 08:23:07.683016
10917734,74,Fund,10,2025-01-30 05:39:14.364033
2907660,91,Organization,1,2025-01-30 03:54:18.116144
24611382,135,Body,5,2025-01-30 01:55:20.329086
17969260,8,Record,20,2025-01-30 04:41:39.401188
4738073,117,Out,15,2025-01-30 02:03:03.914781
3185422,94,Student,20,2025-01-29 18:48:03.011462
8672738,48,Record,20,2025-01-29 22:00:52.387462
8419702,63,Student,8,2025-01-30 10:40:59.572622
28905843,141,Out,5,2025-01-30 08:41:37.427311
4961920,198,History,4,2025-01-30 05:08:49.287868
34495625,79,Approach,14,2025-01-30 02:22:53.065941
15061800,12,Rate,20,2025-01-30 16:01:12.818298
15514088,84,Body,8,2025-01-30 14:12:58.429888
8794193,161,Approach,3,2025-01-30 02:55:19.381171
34330768,37,Organization,14,2025-01-30 14:19:47.236178
7810132,19,Sit,20,2025-01-29 18:46:33.575167
7128276,171,Sit,12,2025-01-30 17:58:54.394994
5728586,190,Student,5,2025-01-30 12:45:32.097501
2642792,69,Statement,18,2025-01-30 11:22:44.524397
38169632,199,Student,10,2025-01-30 02:26:06.684608
34532367,105,Next,16,2025-01-29 21:20:02.009561
18387202,180,Approach,11,2025-01-30 10:24:34.899320
8695888,178,Record,6,2025-01-30 17:54:25.118115
5617714,17,History,13,2025-01-29 20:32:49.138127
21147474,109,Record,17,2025-01-30 06:16:16.732430
39194927,90,Charge,9,2025-01-30 14:11:00.983555
18779456,1,Next,3,2025-01-30 01:34:30.463480
32233344,136,Civil,12,2025-01-30 09:24:54.151241
33917178,114,Social,6,2025-01-30 14:30:05.058958
17300851,17,Student,14,2025-01-30 10:03:35.454190
22273033,159,South,12,2025-01-29 23:58:47.302534
4312250,39,Rate,9,2025-01-30 03:54:43.077713
31592503,50,He,13,2025-01-30 01:51:07.262895
17733795,102,History,18,2025-01-30 14:14:35.908146
16270360,171,Approach,3,2025-01-30 12:30:34.301795
36197121,18,Leg,10,2025-01-30 11:12:39.359161
23778798,90,Fund,7,2025-01-30 08:33:56.957836
18331801,97,He,17,2025-01-30 12:14:53.167055
7412037,173,Leg,6,2025-01-30 04:45:04.091223
31646156,67,Social,2,2025-01-30 02:57:28.179752
8545191,200,Fund,12,2025-01-30 06:15:02.085673
19147726,29,Next,10,2025-01-30 10:17:11.518504
2046929,77,Social,6,2025-01-29 22:05:24.182957
29203884,164,Charge,11,2025-01-30 16:27:41.045585
19350319,67,Statement,2,2025-01-29 20:48:19.519488
