id,name,created_at
1,Floor,2025-01-17 20:35:36.987418
2,Force,2024-07-21 15:43:00.832315
3,Brother,2024-07-29 02:57:24.490770
4,Story,2024-03-12 14:33:37.036100
5,Happen,2024-02-20 03:07:50.424601
6,Recognize,2024-02-13 15:10:39.130351
7,Simple,2024-05-01 09:25:31.488464
8,Create,2024-06-15 01:20:00.981984
9,Why,2024-12-31 17:56:26.249107
10,Police,2024-04-08 13:40:22.951017
11,Free,2024-03-06 05:38:28.354117
12,Allow,2024-05-05 08:24:33.746365
13,Any,2024-09-27 18:35:31.678055
14,Manage,2024-02-16 08:40:29.629498
15,Mrs,2024-12-31 20:16:52.014044
16,Color,2024-02-23 13:54:44.428589
17,Training,2024-11-24 14:18:40.130563
18,Other,2024-08-30 02:36:10.868878
19,Almost,2024-05-15 02:38:31.889771
20,She,2024-10-15 20:08:32.275037
