id,user_id,event_name,page_id,created_at
7631239,13,Student,4,2025-01-29 19:58:55.714074
38001050,76,Leg,14,2025-01-29 21:03:02.530141
5194737,57,Body,1,2025-01-29 20:13:40.460131
11354230,45,He,1,2025-01-30 06:08:12.542381
21003983,133,Sit,4,2025-01-30 08:51:43.921314
24437147,116,Record,12,2025-01-30 00:43:40.444340
5521345,104,Social,1,2025-01-30 10:57:01.236430
35094322,26,Charge,16,2025-01-30 09:50:36.042058
19580330,53,Body,5,2025-01-29 19:56:52.875551
17131862,174,House,14,2025-01-30 18:25:58.718712
15359594,98,Organization,12,2025-01-30 04:58:38.784501
7619629,8,Record,20,2025-01-30 07:21:22.792923
25482427,38,House,16,2025-01-29 23:59:42.987733
36086961,50,South,5,2025-01-30 08:42:01.236592
12807647,155,Civil,15,2025-01-30 12:58:50.796338
9708361,58,Charge,12,2025-01-29 22:25:17.842270
30520797,98,Charge,1,2025-01-30 18:31:36.821993
33458707,64,Charge,20,2025-01-30 00:46:11.161851
9558759,128,He,17,2025-01-30 05:21:57.511560
5589374,133,Out,3,2025-01-29 19:02:53.638948
23143212,43,Body,12,2025-01-30 04:45:36.961105
29598567,54,Organization,1,2025-01-30 04:32:20.419458
13358593,55,Social,19,2025-01-30 11:49:30.040119
28487283,131,He,9,2025-01-30 03:59:06.122703
14888604,193,South,15,2025-01-29 19:16:46.458781
9434083,14,Quite,16,2025-01-30 00:59:07.626092
1688873,68,Social,7,2025-01-29 20:57:59.436770
31635820,41,Charge,9,2025-01-30 10:05:17.695058
12055690,190,Sit,19,2025-01-30 07:58:36.921131
4006510,78,Next,1,2025-01-29 20:50:30.391289
14597257,164,Charge,3,2025-01-30 01:36:37.411439
8803692,37,Civil,15,2025-01-30 15:48:36.264608
11856122,28,Rate,10,2025-01-30 14:17:07.438468
36352631,1,Fund,17,2025-01-30 18:19:00.669133
36759500,69,He,8,2025-01-29 23:22:50.042344
2560480,128,Statement,1,2025-01-29 23:49:10.070102
33381960,168,Civil,4,2025-01-29 20:20:57.030830
17421065,141,Organization,10,2025-01-29 21:23:36.265233
17611946,89,Next,5,2025-01-30 15:25:59.353522
10306001,190,Sit,19,2025-01-30 07:54:07.438062
13381,41,Body,19,2025-01-30 15:23:39.269708
14851843,150,Body,8,2025-01-29 20:14:33.060483
37594136,184,Rate,4,2025-01-30 13:06:08.322008
27686426,155,Charge,9,2025-01-29 20:49:59.644341
27027324,116,Rate,15,2025-01-30 16:30:34.185316
34512170,194,Next,15,2025-01-30 10:02:23.103907
32170482,132,Student,16,2025-01-30 16:07:09.004032
21887751,141,Statement,17,2025-01-30 06:15:41.190905
22068701,83,He,2,2025-01-30 06:22:28.301958
19165773,29,He,10,2025-01-29 22:51:32.541936
15429017,137,Body,5,2025-01-30 14:57:34.866139
33988961,178,Student,17,2025-01-30 09:27:31.046867
16120600,153,Quite,16,2025-01-30 08:24:33.605320
18955675,34,Fund,2,2025-01-30 02:45:26.532153
23980758,10,Charge,10,2025-01-30 08:44:24.596393
37117125,75,Organization,5,2025-01-30 14:31:53.565098
37334753,77,Approach,4,2025-01-30 10:42:31.854069
14854138,109,Record,11,2025-01-30 08:50:47.915137
7497170,48,South,19,2025-01-30 11:54:39.467309
36432099,101,Record,2,2025-01-30 01:27:28.521853
4641390,2,Statement,16,2025-01-29 23:50:44.293461
31126248,126,Quite,8,2025-01-29 20:32:32.434500
23136594,181,Statement,8,2025-01-30 08:52:47.268665
14932840,91,Student,16,2025-01-29 22:31:42.565319
23369354,34,Record,11,2025-01-30 18:03:26.724257
