id,name,created_at
1,Floor,2024-12-20 01:07:46.085684
2,Force,2025-01-24 00:29:02.620558
3,Brother,2024-02-22 00:52:28.889529
4,Story,2024-09-14 22:37:26.893037
5,Happen,2024-03-01 05:24:04.586483
6,Recognize,2025-01-18 19:15:03.785935
7,Simple,2024-02-28 03:24:10.727402
8,Create,2025-01-05 20:13:27.704458
9,Why,2024-04-19 15:09:22.708370
10,Police,2024-05-26 16:25:12.666438
11,Free,2024-11-10 20:21:38.468741
12,Allow,2024-12-09 18:54:55.851245
13,Any,2024-09-23 06:09:42.365780
14,Manage,2024-09-06 15:54:28.651967
15,Mrs,2024-05-28 01:06:39.366953
16,Color,2024-12-22 09:52:55.215081
17,Training,2024-12-24 19:20:26.490285
18,Other,2024-07-18 17:45:30.834502
19,Almost,2024-03-09 02:46:53.895617
20,She,2024-02-28 08:31:02.350145
