project,id,user_id,created_at,amount,currency,success
project_a,6689366,156,2025-01-30 12:58:06.712580,203.8,USD,True
project_a,6272714,41,2025-01-30 05:52:04.884642,114.24,RUB,True
project_a,1000,93,2025-01-30 15:03:14.937473,364.79,EUR,True
project_a,24650,120,2025-01-29 22:11:28.327792,13.73,RUB,True
project_a,835084,90,2025-01-29 21:36:08.268178,218.1,USD,True
project_a,6731578,26,2025-01-30 02:58:48.419318,411.3,RUB,False
project_a,6125082,46,2025-01-30 13:41:33.112249,74.88,EUR,True
project_a,3820593,101,2025-01-30 11:18:33.564683,348.94,RUB,False
project_a,43523,103,2025-01-30 08:03:04.428794,42.51,RUB,True
project_a,3516993,7,2025-01-30 09:56:56.425858,122.78,RUB,True
project_a,5430403,142,2025-01-30 02:47:41.138246,480.76,RUB,True
project_a,1162781,53,2025-01-30 00:24:24.260378,393.48,USD,False
project_a,2392025,155,2025-01-30 15:24:08.469931,218.57,RUB,True
project_a,211766,96,2025-01-30 14:19:02.879868,334.18,USD,True
project_a,2712567,46,2025-01-30 11:42:27.799775,102.61,RUB,False
project_a,4654893,99,2025-01-30 17:35:42.097985,459.84,RUB,True
project_a,5545324,174,2025-01-30 14:15:13.738160,263.99,EUR,False
project_a,6008031,185,2025-01-30 07:37:16.848610,108.65,RUB,True
project_a,4203522,113,2025-01-29 21:18:03.943479,188.86,RUB,True
project_a,3126862,146,2025-01-30 09:09:05.848736,51.23,USD,False
project_a,3398594,5,2025-01-30 13:02:49.767477,130.0,USD,True
project_a,4364770,22,2025-01-30 15:19:15.209670,466.65,EUR,False
project_a,1460225,123,2025-01-30 04:21:29.088825,492.67,EUR,True
project_a,6208857,174,2025-01-30 07:07:18.971439,215.51,USD,True
project_a,380463,86,2025-01-30 00:43:37.845243,225.53,EUR,False
project_a,1588894,64,2025-01-30 03:33:35.479644,266.99,RUB,True
project_a,6725749,103,2025-01-30 13:42:16.783066,122.25,USD,True
project_a,722568,106,2025-01-30 07:35:43.610508,437.81,EUR,False
project_a,1039779,124,2025-01-30 01:15:05.193916,491.42,EUR,True
project_a,426063,145,2025-01-30 09:02:47.998666,391.39,USD,True
project_a,369038,80,2025-01-30 08:27:53.724670,424.43,RUB,True
project_a,4066367,175,2025-01-29 21:17:53.931489,323.88,RUB,True
project_a,2652960,5,2025-01-30 13:12:24.173764,55.02,USD,True
project_a,6113285,25,2025-01-29 18:32:03.524521,486.73,EUR,True
project_a,6486887,142,2025-01-29 22:26:56.671376,383.68,RUB,False
project_a,1002692,165,2025-01-30 15:31:40.409884,230.97,USD,False
project_a,1610613,149,2025-01-30 05:27:20.110980,58.3,RUB,True
project_a,582985,42,2025-01-29 20:07:47.823582,495.91,EUR,True
project_a,291971,109,2025-01-30 07:21:58.630989,212.02,USD,True
project_a,4003474,136,2025-01-30 11:39:28.417036,147.11,EUR,True
project_a,6233748,82,2025-01-30 16:30:20.875341,114.89,EUR,False
project_a,4363435,180,2025-01-30 07:56:05.595999,212.26,USD,False
project_a,4222688,71,2025-01-30 17:21:06.347544,163.43,USD,True
project_a,4305886,123,2025-01-30 05:59:02.521116,290.94,EUR,True
project_a,3698143,20,2025-01-30 04:55:31.915564,98.95,EUR,True
project_a,454976,17,2025-01-29 19:30:17.015512,185.92,RUB,True
project_a,4066913,151,2025-01-30 03:52:20.080882,243.37,USD,False
project_a,4364719,172,2025-01-30 13:36:51.688527,65.49,USD,True
project_a,2594306,125,2025-01-30 05:12:35.427110,100.52,EUR,True
project_a,4861066,168,2025-01-30 06:09:03.416736,262.65,EUR,True
project_a,985078,55,2025-01-30 17:25:25.171592,242.94,RUB,True
project_a,329654,37,2025-01-30 02:04:53.450905,491.35,RUB,True
project_a,2201448,156,2025-01-30 13:14:49.913661,42.75,EUR,True
project_a,176430,83,2025-01-29 22:02:14.294456,366.92,EUR,True
project_a,6148706,42,2025-01-30 07:52:48.010524,16.49,RUB,True
project_a,1161440,118,2025-01-30 06:01:22.967811,216.93,EUR,True
project_a,6025210,182,2025-01-30 10:01:59.955347,386.0,EUR,True
project_a,3074714,74,2025-01-30 07:45:37.405282,16.16,EUR,True
project_a,1850184,7,2025-01-30 17:58:19.121044,343.97,USD,True
project_a,6141150,55,2025-01-30 05:36:25.626990,340.69,USD,False
project_a,6350453,130,2025-01-30 03:10:27.987952,260.14,RUB,False
project_a,5877445,29,2025-01-30 13:02:41.978140,466.96,USD,False
project_a,1660566,44,2025-01-29 19:12:01.201602,439.11,EUR,True
project_a,5757016,51,2025-01-30 13:55:04.690653,73.96,RUB,True
project_a,2817359,176,2025-01-29 19:28:24.728165,28.17,EUR,False
project_a,1764970,93,2025-01-29 19:58:28.539495,219.7,RUB,True
project_a,5114404,78,2025-01-29 18:57:16.970099,131.38,EUR,True
project_a,3901391,102,2025-01-30 17:00:20.594335,224.41,RUB,True
project_a,560594,99,2025-01-29 21:31:49.047122,55.5,USD,True
project_a,2400771,93,2025-01-30 10:41:32.318270,490.33,USD,True
project_a,3805992,150,2025-01-29 20:48:09.966038,195.21,EUR,True
project_a,4625030,104,2025-01-30 14:52:44.292053,371.71,USD,True
project_a,3509508,23,2025-01-29 19:35:12.400416,482.49,RUB,True
project_a,3094139,181,2025-01-30 12:23:03.695933,345.64,EUR,True
project_a,2489522,183,2025-01-29 19:47:38.912652,330.39,USD,True
project_a,4339136,60,2025-01-30 18:40:59.735347,130.73,RUB,True
project_a,4603064,141,2025-01-30 04:59:13.029549,339.23,EUR,True
project_a,4312300,12,2025-01-30 05:29:55.770404,451.16,RUB,True
project_a,4994426,69,2025-01-30 01:59:38.885946,26.13,USD,True
project_a,3789139,194,2025-01-30 01:51:08.504753,273.69,USD,True
project_a,4866613,27,2025-01-30 05:34:05.108060,12.6,RUB,False
project_a,3209478,30,2025-01-30 02:42:35.060027,469.65,EUR,True
project_a,6221661,163,2025-01-30 09:09:01.141565,406.48,EUR,False
project_a,3990121,60,2025-01-30 06:09:34.669165,389.93,USD,True
project_a,5060444,94,2025-01-30 00:14:06.590452,481.33,RUB,False
project_a,4658878,50,2025-01-29 18:51:28.275198,203.38,EUR,True
project_a,5464554,184,2025-01-29 22:11:01.691957,152.28,RUB,True
project_a,118922,123,2025-01-30 00:28:42.192842,393.99,USD,True
project_a,6429963,27,2025-01-29 23:06:32.532331,292.49,RUB,True
project_a,1731688,198,2025-01-29 20:52:59.501853,376.32,EUR,True
project_a,499598,111,2025-01-30 04:09:02.933634,489.59,EUR,True
project_a,3105443,180,2025-01-30 09:26:41.927608,293.33,RUB,True
project_a,6938078,50,2025-01-30 12:40:37.657413,151.75,EUR,True
